date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:17	216/216	---MCZ	404	error ('Not%20Found%20')	text/html	date:Mon,%2026%20Feb%202024%2011:32:15%20GMT	https://elexis.info/robots.txt		(from )
12:32:18	17733/17733	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/	/home/debenath/websites/Elexis.info/elexis.info/index.html	(from )
12:32:18	6924/6924	---M--	200	added ('OK%20')	text/css	etag:1460034-1b0c-5c18d683	https://elexis.info/public/css/poole.css	/home/debenath/websites/Elexis.info/elexis.info/public/css/poole.css	(from https://elexis.info/)
12:32:19	3479/3479	---M--	200	added ('OK%20')	text/css	etag:1460036-d97-5c18d683	https://elexis.info/public/css/syntax.css	/home/debenath/websites/Elexis.info/elexis.info/public/css/syntax.css	(from https://elexis.info/)
12:32:20	4282/4282	---M--	200	added ('OK%20')	text/css	etag:1460033-10ba-5c18d683	https://elexis.info/public/css/hyde.css	/home/debenath/websites/Elexis.info/elexis.info/public/css/hyde.css	(from https://elexis.info/)
12:32:21	814/814	---M--	200	added ('OK%20')	text/css	etag:1460031-32e-5c18d683	https://elexis.info/public/css/custom.css	/home/debenath/websites/Elexis.info/elexis.info/public/css/custom.css	(from https://elexis.info/)
12:32:22	894/894	---M--	200	added ('OK%20')	image/vnd.microsoft.icon	etag:146002d-37e-5c18d683	https://elexis.info/images/favicon.ico	/home/debenath/websites/Elexis.info/elexis.info/images/favicon.ico	(from https://elexis.info/)
12:32:23	47500/47500	---M--	200	added ('OK%20')	image/png	etag:1460030-b98c-5c18d683	https://elexis.info/images/splash.png	/home/debenath/websites/Elexis.info/elexis.info/images/splash.png	(from https://elexis.info/)
12:32:24	7821/7821	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/support/	/home/debenath/websites/Elexis.info/elexis.info/support/index.html	(from https://elexis.info/)
12:32:24	7809/7809	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/documentation/	/home/debenath/websites/Elexis.info/elexis.info/documentation/index.html	(from https://elexis.info/)
12:32:24	7366/7366	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/use_elexis/	/home/debenath/websites/Elexis.info/elexis.info/use_elexis/index.html	(from https://elexis.info/)
12:32:24	8240/8240	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/sponsoring/	/home/debenath/websites/Elexis.info/elexis.info/sponsoring/index.html	(from https://elexis.info/)
12:32:25	82664/82664	---M--	200	added ('OK%20')	image/jpeg	etag:146001f-142e8-5c18d683	https://elexis.info/images/dinacon_2017_blue_small.jpg	/home/debenath/websites/Elexis.info/elexis.info/images/dinacon_2017_blue_small.jpg	(from https://elexis.info/)
12:32:26	12078/12078	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/contributors/	/home/debenath/websites/Elexis.info/elexis.info/contributors/index.html	(from https://elexis.info/)
12:32:26	17990/17990	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/contributing/	/home/debenath/websites/Elexis.info/elexis.info/contributing/index.html	(from https://elexis.info/)
12:32:26	8381/8381	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/webmaster/	/home/debenath/websites/Elexis.info/elexis.info/webmaster/index.html	(from https://elexis.info/)
12:32:26	9130/9130	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/fr/	/home/debenath/websites/Elexis.info/elexis.info/fr/index.html	(from https://elexis.info/)
12:32:27	282/282	---MCZ	404	error ('Not%20Found%20')	text/html	date:Mon,%2026%20Feb%202024%2011:32:25%20GMT	https://elexis.info/support.html	/home/debenath/websites/Elexis.info/elexis.info/support.html	(from https://elexis.info/)
12:32:29	12638/12638	---MCZ	200	added ('OK%20')	text/html	date:Tue,%2018%20Dec%202018%2011:14:11%20GMT	https://elexis.info/epl-v10.html	/home/debenath/websites/Elexis.info/elexis.info/epl-v10.html	(from https://elexis.info/)
12:32:29	7813/7813	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/en/	/home/debenath/websites/Elexis.info/elexis.info/en/index.html	(from https://elexis.info/)
12:32:29	11612/11612	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/it/	/home/debenath/websites/Elexis.info/elexis.info/it/index.html	(from https://elexis.info/)
12:32:29	58/58	---M--	301	error ('Moved%20Permanently%20')	text/html	date:Mon,%2026%20Feb%202024%2011:32:26%20GMT	https://elexis.info/contributors	/home/debenath/websites/Elexis.info/elexis.info/contributors	(from https://elexis.info/)
12:33:04	7875/7875	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/en/documentation/	/home/debenath/websites/Elexis.info/elexis.info/en/documentation/index.html	(from https://elexis.info/documentation/)
12:33:04	7088/7088	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/it/documentation/	/home/debenath/websites/Elexis.info/elexis.info/it/documentation/index.html	(from https://elexis.info/documentation/)
12:33:04	6924/6924	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/fr/support/	/home/debenath/websites/Elexis.info/elexis.info/fr/support/index.html	(from https://elexis.info/support/)
12:33:04	7125/7125	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/fr/documentation/	/home/debenath/websites/Elexis.info/elexis.info/fr/documentation/index.html	(from https://elexis.info/documentation/)
12:33:04	48/48	---M--	301	error ('Moved%20Permanently%20')	text/html	date:Mon,%2026%20Feb%202024%2011:33:02%20GMT	https://elexis.info/support	/home/debenath/websites/Elexis.info/elexis.info/support.a.delayed	(from https://elexis.info/use_elexis/)
12:33:05	7684/7684	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/en/support/	/home/debenath/websites/Elexis.info/elexis.info/en/support/index.html	(from https://elexis.info/support/)
12:33:05	465/465	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/fr/use_elexis/	/home/debenath/websites/Elexis.info/elexis.info/fr/use_elexis/index.html	(from https://elexis.info/use_elexis/)
12:33:05	6679/6679	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/it/support/	/home/debenath/websites/Elexis.info/elexis.info/it/support/index.html	(from https://elexis.info/support/)
12:33:05	7438/7438	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/en/use_elexis/	/home/debenath/websites/Elexis.info/elexis.info/en/use_elexis/index.html	(from https://elexis.info/use_elexis/)
12:33:06	60/60	---M--	301	error ('Moved%20Permanently%20')	text/html	date:Mon,%2026%20Feb%202024%2011:33:03%20GMT	https://elexis.info/documentation	/home/debenath/websites/Elexis.info/elexis.info/documentation	(from https://elexis.info/use_elexis/)
12:33:07	296/296	---MCZ	404	error ('Not%20Found%20')	text/html	date:Mon,%2026%20Feb%202024%2011:33:04%20GMT	https://elexis.info/sponsoring/de_support.html	/home/debenath/websites/Elexis.info/elexis.info/sponsoring/de_support.html	(from https://elexis.info/sponsoring/)
12:33:21	465/465	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/it/use_elexis/	/home/debenath/websites/Elexis.info/elexis.info/it/use_elexis/index.html	(from https://elexis.info/use_elexis/)
12:33:42	7099/7099	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/en/sponsoring/	/home/debenath/websites/Elexis.info/elexis.info/en/sponsoring/index.html	(from https://elexis.info/sponsoring/)
12:33:42	8100/8100	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/fr/sponsoring/	/home/debenath/websites/Elexis.info/elexis.info/fr/sponsoring/index.html	(from https://elexis.info/sponsoring/)
12:33:42	7657/7657	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/it/sponsoring/	/home/debenath/websites/Elexis.info/elexis.info/it/sponsoring/index.html	(from https://elexis.info/sponsoring/)
12:33:55	12062/12062	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/fr/contributors/	/home/debenath/websites/Elexis.info/elexis.info/fr/contributors/index.html	(from https://elexis.info/contributors/)
12:34:17	6709/6709	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/it/contributors/	/home/debenath/websites/Elexis.info/elexis.info/it/contributors/index.html	(from https://elexis.info/contributors/)
12:34:17	11616/11616	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/en/contributors/	/home/debenath/websites/Elexis.info/elexis.info/en/contributors/index.html	(from https://elexis.info/contributors/)
12:34:17	17896/17896	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/fr/contributing/	/home/debenath/websites/Elexis.info/elexis.info/fr/contributing/index.html	(from https://elexis.info/contributing/)
12:34:18	18056/18056	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/en/contributing/	/home/debenath/websites/Elexis.info/elexis.info/en/contributing/index.html	(from https://elexis.info/contributing/)
12:34:18	60/60	---M--	301	error ('Moved%20Permanently%20')	text/html	date:Mon,%2026%20Feb%202024%2011:34:15%20GMT	https://elexis.info/fr/sponsoring	/home/debenath/websites/Elexis.info/elexis.info/fr/sponsoring.d.delayed	(from https://elexis.info/fr/)
12:34:34	17845/17845	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/it/contributing/	/home/debenath/websites/Elexis.info/elexis.info/it/contributing/index.html	(from https://elexis.info/contributing/)
12:34:34	7471/7471	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/fr/webmaster/	/home/debenath/websites/Elexis.info/elexis.info/fr/webmaster/index.html	(from https://elexis.info/webmaster/)
12:34:34	7309/7309	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/it/webmaster/	/home/debenath/websites/Elexis.info/elexis.info/it/webmaster/index.html	(from https://elexis.info/webmaster/)
12:34:34	7526/7526	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/en/webmaster/	/home/debenath/websites/Elexis.info/elexis.info/en/webmaster/index.html	(from https://elexis.info/webmaster/)
12:34:35	17733/17733	---MCZ	200	added ('OK%20')	text/html	date:Mon,%2026%20Feb%202024%2011:26:33%20GMT	https://elexis.info/index.html	/home/debenath/websites/Elexis.info/elexis.info/index-2.html	(from https://elexis.info/fr/)
12:34:36	12638/12638	---MCZ	200	added ('OK%20')	text/html	date:Tue,%2018%20Dec%202018%2011:14:11%20GMT	https://elexis.info/fr/epl-v10.html	/home/debenath/websites/Elexis.info/elexis.info/fr/epl-v10.html	(from https://elexis.info/fr/)
12:34:36	64/64	---M--	301	error ('Moved%20Permanently%20')	text/html	date:Mon,%2026%20Feb%202024%2011:34:35%20GMT	https://elexis.info/fr/contributors	/home/debenath/websites/Elexis.info/elexis.info/fr/contributors	(from https://elexis.info/fr/)
12:34:38	12638/12638	---MCZ	200	added ('OK%20')	text/html	date:Tue,%2018%20Dec%202018%2011:14:11%20GMT	https://elexis.info/en/epl-v10.html	/home/debenath/websites/Elexis.info/elexis.info/en/epl-v10.html	(from https://elexis.info/en/)
12:34:38	64/64	---M--	301	error ('Moved%20Permanently%20')	text/html	date:Mon,%2026%20Feb%202024%2011:34:37%20GMT	https://elexis.info/en/contributors	/home/debenath/websites/Elexis.info/elexis.info/en/contributors	(from https://elexis.info/en/)
12:34:39	296/296	---MCZ	404	error ('Not%20Found%20')	text/html	date:Mon,%2026%20Feb%202024%2011:34:38%20GMT	https://elexis.info/en/support/de_support.html	/home/debenath/websites/Elexis.info/elexis.info/en/support/de_support.html	(from https://elexis.info/en/support/)
12:34:40	54/54	---M--	301	error ('Moved%20Permanently%20')	text/html	date:Mon,%2026%20Feb%202024%2011:34:39%20GMT	https://elexis.info/en/support	/home/debenath/websites/Elexis.info/elexis.info/en/support	(from https://elexis.info/en/use_elexis/)
12:34:41	66/66	---M--	301	error ('Moved%20Permanently%20')	text/html	date:Mon,%2026%20Feb%202024%2011:34:40%20GMT	https://elexis.info/en/documentation	/home/debenath/websites/Elexis.info/elexis.info/en/documentation	(from https://elexis.info/en/use_elexis/)
12:34:42	325/325	---MCZ	404	error ('Not%20Found%20')	text/html	date:Mon,%2026%20Feb%202024%2011:34:40%20GMT	https://elexis.info/fr/sponsoring/%22mailto:niklaus.giger@member.fsf.org	/home/debenath/websites/Elexis.info/elexis.info/fr/sponsoring/_mailto_niklaus.giger@member.fsf.org	(from https://elexis.info/fr/sponsoring/)
12:34:43	325/325	---MCZ	404	error ('Not%20Found%20')	text/html	date:Mon,%2026%20Feb%202024%2011:34:41%20GMT	https://elexis.info/it/sponsoring/%22mailto:niklaus.giger@member.fsf.org	/home/debenath/websites/Elexis.info/elexis.info/it/sponsoring/_mailto_niklaus.giger@member.fsf.org	(from https://elexis.info/it/sponsoring/)
12:34:44	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Feb%202024%2011:34:42%20GMT	http://elexis.info/www.elexis-forum.ch	/home/debenath/websites/Elexis.info/elexis.info/www.elexis-forum.18.delayed	(from https://elexis.info/fr/contributors/)
